City,County,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Average
"SANTA MONICA","LOS ANGELES",24,29,37,23,30,34,22,35,4,29,26.7
PERRIS,RIVERSIDE,15,21,18,26,23,25,27,37,37,38,26.7
"MISSION VIEJO",ORANGE,24,40,15,27,30,22,27,27,25,26,26.3
CARSON,"LOS ANGELES",19,16,24,23,25,22,31,27,34,35,25.6
DOWNEY,"LOS ANGELES",12,27,24,22,34,28,32,21,29,26,25.5
HEMET,RIVERSIDE,20,27,14,25,23,33,38,24,31,20,25.5
"ELK GROVE",SACRAMENTO,19,19,32,29,27,26,16,33,18,31,25.0
LYNWOOD,"LOS ANGELES",21,13,15,23,17,20,22,31,35,50,24.7
WHITTIER,"LOS ANGELES",18,23,19,24,32,33,16,34,22,20,24.1
"DIAMOND BAR","LOS ANGELES",15,17,19,19,17,30,31,26,27,35,23.6
TORRANCE,"LOS ANGELES",20,19,22,18,22,37,28,32,24,14,23.6
NORWALK,"LOS ANGELES",19,19,22,28,22,25,29,23,25,22,23.4
"LAKE ELSINORE",RIVERSIDE,17,19,10,13,20,29,32,30,27,37,23.4
BELLFLOWER,"LOS ANGELES",18,16,23,21,17,27,29,29,32,21,23.3
HAWTHORNE,"LOS ANGELES",32,20,28,21,25,23,21,19,20,21,23.0
"CITRUS HEIGHTS",SACRAMENTO,20,12,25,33,25,29,23,23,24,16,23.0
TURLOCK,STANISLAUS,11,20,24,16,17,25,23,25,32,37,23.0
TEMECULA,RIVERSIDE,16,21,15,11,24,26,30,29,19,37,22.8
"LAKE FOREST",ORANGE,16,19,29,30,29,23,28,22,12,18,22.6
CHINO,"SAN BERNARDINO",22,11,15,11,30,35,17,30,28,27,22.6
"SANTA FE SPRINGS","LOS ANGELES",13,11,16,17,23,23,28,29,21,44,22.5
"BUENA PARK",ORANGE,26,18,23,21,17,23,21,28,16,31,22.4
ROSEVILLE,PLACER,16,8,7,6,12,22,35,35,34,49,22.4
"FOUNTAIN VALLEY",ORANGE,17,15,20,24,25,19,18,27,26,31,22.2
"SANTA CLARA","SANTA CLARA",32,23,28,23,20,19,21,19,21,16,22.2
PITTSBURG,"CONTRA COSTA",12,14,14,21,25,22,24,28,28,32,22.0
SUNNYVALE,"SANTA CLARA",19,5,25,14,29,21,34,32,21,20,22.0
EUREKA,HUMBOLDT,19,15,16,13,18,23,32,25,34,23,21.8
"SOUTH SAN FRANCISCO","SAN MATEO",26,27,15,17,17,28,24,28,15,20,21.7
MANTECA,"SAN JOAQUIN",13,9,3,24,27,23,26,32,31,28,21.6
"SAN CLEMENTE",ORANGE,24,20,26,20,25,23,25,14,17,20,21.4
"SANTA CRUZ","SANTA CRUZ",16,20,20,24,15,20,29,29,17,23,21.3
MENIFEE,RIVERSIDE,19,19,18,20,21,20,27,25,32,11,21.2
TUSTIN,ORANGE,20,12,17,13,28,27,26,28,16,23,21.0
"APPLE VALLEY","SAN BERNARDINO",10,12,19,14,20,25,22,23,26,35,20.6
"DALY CITY","SAN MATEO",25,13,15,19,23,28,20,24,19,20,20.6
"SOUTH GATE","LOS ANGELES",15,23,19,19,21,21,15,29,22,20,20.4
"SAN RAFAEL",MARIN,25,10,14,17,18,19,25,22,26,26,20.2
CAMARILLO,VENTURA,36,16,19,13,24,27,16,20,13,18,20.2
MALIBU,"LOS ANGELES",14,19,16,22,14,23,18,22,26,26,20.0
VACAVILLE,SOLANO,15,16,23,22,16,12,31,19,21,23,19.8
UPLAND,"SAN BERNARDINO",17,18,22,17,25,23,21,9,17,27,19.6
"SAN JACINTO",RIVERSIDE,10,14,22,19,27,24,22,23,18,16,19.5
"YUBA CITY",SUTTER,12,13,16,21,15,20,17,26,32,23,19.5
"WEST SACRAMENTO",YOLO,10,11,14,15,24,22,21,27,23,27,19.4
ENCINITAS,"SAN DIEGO",19,23,22,24,13,23,19,21,16,13,19.3
LIVERMORE,ALAMEDA,11,11,11,16,16,23,25,31,24,21,18.9
"MOUNTAIN VIEW","SANTA CLARA",23,14,17,19,16,19,20,29,11,19,18.7
"RANCHO CORDOVA",SACRAMENTO,11,18,18,17,15,26,22,20,19,19,18.5
MILPITAS,"SANTA CLARA",22,19,16,22,17,16,23,17,9,23,18.4
PLEASANTON,ALAMEDA,22,14,9,14,22,17,19,14,20,32,18.3
CERRITOS,"LOS ANGELES",17,24,10,11,13,16,23,23,15,31,18.3
"REDWOOD CITY","SAN MATEO",10,10,23,21,21,14,19,25,21,16,18.0
"CULVER CITY","LOS ANGELES",22,9,12,20,25,24,18,19,21,8,17.8
NAPA,NAPA,14,10,22,22,14,21,17,19,19,20,17.8
"LA MESA","SAN DIEGO",9,14,14,14,21,15,27,20,21,20,17.5
"SAN MATEO","SAN MATEO",20,11,8,9,9,20,35,23,23,17,17.5
PARAMOUNT,"LOS ANGELES",14,14,13,11,22,17,12,19,23,28,17.3
"CATHEDRAL CITY",RIVERSIDE,15,13,11,20,15,17,23,25,21,12,17.2
"BALDWIN PARK","LOS ANGELES",11,14,9,12,15,18,26,23,12,29,16.9
MADERA,MADERA,14,11,12,16,20,19,15,19,19,23,16.8
MURRIETA,RIVERSIDE,12,3,8,7,23,19,29,22,19,25,16.7
GILROY,"SANTA CLARA",7,12,9,14,15,21,24,27,16,22,16.7
LODI,"SAN JOAQUIN",8,12,10,19,14,18,21,18,25,21,16.6
ALHAMBRA,"LOS ANGELES",14,15,12,13,13,15,25,23,18,16,16.4
FOLSOM,SACRAMENTO,18,9,16,17,18,18,20,23,10,15,16.4
AZUSA,"LOS ANGELES",17,13,16,11,15,13,21,17,25,12,16.0
BARSTOW,"SAN BERNARDINO",12,7,9,12,11,17,16,26,24,26,16.0
LAKEWOOD,"LOS ANGELES",12,8,12,11,17,20,18,22,15,24,15.9
COMMERCE,"LOS ANGELES",18,12,13,13,16,8,19,18,16,25,15.8
IRWINDALE,"LOS ANGELES",21,11,12,12,21,11,25,14,13,17,15.7
BURBANK,"LOS ANGELES",31,26,23,20,10,11,10,12,7,3,15.3
"SAN LUIS OBISPO","SAN LUIS OBISPO",11,12,7,9,19,22,18,18,14,22,15.2
PETALUMA,SONOMA,17,8,5,16,23,17,11,16,14,23,15.0
TULARE,TULARE,12,8,14,9,14,19,14,21,19,19,14.9
HANFORD,KINGS,14,16,10,11,9,22,9,19,18,20,14.8
TRACY,"SAN JOAQUIN",9,11,12,14,12,15,18,16,21,18,14.6
"WEST HOLLYWOOD","LOS ANGELES",11,13,5,14,18,27,13,14,15,15,14.5
"LAGUNA HILLS",ORANGE,12,14,14,17,12,15,20,15,13,13,14.5
INDUSTRY,"LOS ANGELES",10,12,9,10,18,8,14,18,14,31,14.4
WATSONVILLE,"SANTA CRUZ",15,12,10,21,19,16,15,11,14,11,14.4
"WALNUT CREEK","CONTRA COSTA",11,12,11,15,8,18,21,17,18,12,14.3
"SAN BRUNO","SAN MATEO",14,10,12,7,8,25,28,16,11,12,14.3
MONTCLAIR,"SAN BERNARDINO",15,13,10,10,13,11,17,14,21,18,14.2
PORTERVILLE,TULARE,15,13,12,10,19,15,13,15,9,18,13.9
GARDENA,"LOS ANGELES",7,9,8,14,13,27,19,10,14,16,13.7
"LAGUNA BEACH",ORANGE,15,11,24,14,20,10,13,14,8,8,13.7
"PALM DESERT",RIVERSIDE,16,17,8,17,17,9,19,12,12,10,13.7
"PALO ALTO","SANTA CLARA",18,13,12,5,13,17,11,22,15,11,13.7
"LAGUNA NIGUEL",ORANGE,22,21,10,15,8,16,13,12,11,6,13.4
"PICO RIVERA","LOS ANGELES",12,6,15,6,7,9,21,13,14,30,13.3
YUCAIPA,"SAN BERNARDINO",11,8,11,12,9,19,13,22,14,13,13.2
WOODLAND,YOLO,10,10,14,10,9,11,18,15,13,20,13.0
"UNION CITY",ALAMEDA,11,14,15,5,9,10,19,16,15,15,12.9
BANNING,RIVERSIDE,4,7,11,8,10,17,18,18,15,19,12.7
GLENDORA,"LOS ANGELES",5,5,10,8,11,17,18,19,14,19,12.6
"LOS BANOS",MERCED,5,10,5,8,9,6,23,25,16,19,12.6
STANTON,ORANGE,3,10,13,20,17,18,10,11,15,9,12.6
OROVILLE,BUTTE,12,7,4,5,8,13,17,22,15,22,12.5
"REDONDO BEACH","LOS ANGELES",13,11,7,18,13,14,8,13,14,14,12.5
GOLETA,"SANTA BARBARA",10,8,11,9,10,15,19,11,15,17,12.5
ROSEMEAD,"LOS ANGELES",5,2,11,8,6,14,19,16,18,24,12.3
CUPERTINO,"SANTA CLARA",14,10,12,14,13,13,15,10,12,8,12.1
BELL,"LOS ANGELES",7,14,5,11,6,10,16,21,13,15,11.8
"SEAL BEACH",ORANGE,17,7,11,14,16,12,13,17,7,4,11.8
HIGHLAND,"SAN BERNARDINO",5,10,7,8,4,16,14,11,23,20,11.8
DAVIS,YOLO,7,8,10,5,12,8,12,21,19,16,11.8
BRENTWOOD,"CONTRA COSTA",7,8,6,10,9,9,20,14,17,17,11.7
CAMPBELL,"SANTA CLARA",15,12,17,10,12,7,14,14,6,9,11.6
EASTVALE,RIVERSIDE,8,8,7,13,6,21,12,13,11,15,11.4
LATHROP,"SAN JOAQUIN",3,9,9,12,7,16,13,16,13,16,11.4
MARTINEZ,"CONTRA COSTA",6,7,5,12,10,13,9,12,19,20,11.3
"SAN RAMON","CONTRA COSTA",10,13,10,8,14,15,13,13,8,8,11.2
BURLINGAME,"SAN MATEO",15,12,17,12,6,9,16,6,10,8,11.1
MONTEBELLO,"LOS ANGELES",11,16,11,10,10,22,13,8,4,4,10.9
"SAN PABLO","CONTRA COSTA",4,4,7,11,5,17,14,14,17,15,10.8
ARCADIA,"LOS ANGELES",5,9,6,11,18,8,14,13,10,14,10.8
BREA,ORANGE,4,5,12,12,13,15,14,14,7,12,10.8
"SAN JUAN CAPISTRANO",ORANGE,11,12,7,13,17,12,11,8,5,12,10.8
LOMPOC,"SANTA BARBARA",13,13,7,10,5,14,12,6,11,17,10.8
"MONTEREY PARK","LOS ANGELES",8,11,12,9,8,7,11,14,13,13,10.6
MONTEREY,MONTEREY,19,12,7,8,8,16,13,11,5,7,10.6
"LA HABRA",ORANGE,10,13,6,11,21,9,12,8,8,8,10.6
CERES,STANISLAUS,1,8,7,8,6,10,11,17,11,25,10.4
