City,County,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Average
FILLMORE,VENTURA,5,5,1,4,2,5,6,0,3,0,3.1
OJAI,VENTURA,2,2,0,4,6,6,1,6,2,2,3.1
"HERMOSA BEACH","LOS ANGELES",3,1,3,4,3,3,3,6,1,3,3.0
MARINA,MONTEREY,3,2,4,0,2,5,4,3,4,3,3.0
RIPON,"SAN JOAQUIN",4,4,0,1,3,5,3,4,4,2,3.0
SEBASTOPOL,SONOMA,1,1,3,2,2,3,6,4,5,2,2.9
RIVERBANK,STANISLAUS,1,1,0,5,1,6,0,4,6,5,2.9
GRIDLEY,BUTTE,2,2,2,2,5,0,6,1,3,5,2.8
MAYWOOD,"LOS ANGELES",1,2,3,2,2,5,3,6,2,2,2.8
CALIMESA,RIVERSIDE,0,6,1,4,3,5,1,2,1,5,2.8
ORLAND,GLENN,2,1,4,2,1,5,3,1,2,5,2.6
"HAWAIIAN GARDENS","LOS ANGELES",4,2,4,5,0,4,5,2,0,0,2.6
LINDSAY,TULARE,5,3,3,1,2,2,0,3,2,5,2.6
ARVIN,KERN,3,0,2,1,6,2,2,3,4,2,2.5
"BIG BEAR LAKE","SAN BERNARDINO",3,1,0,2,1,4,4,2,4,4,2.5
COTATI,SONOMA,3,3,5,2,2,1,1,2,3,3,2.5
"SAN MARINO","LOS ANGELES",1,4,1,6,4,3,3,1,0,1,2.4
REEDLEY,FRESNO,3,2,1,0,4,1,3,2,4,3,2.3
CALEXICO,IMPERIAL,7,0,1,5,1,2,3,3,1,0,2.3
CALISTOGA,NAPA,0,0,0,1,4,4,5,6,2,1,2.3
NEEDLES,"SAN BERNARDINO",3,0,1,3,1,2,2,4,2,5,2.3
ESCALON,"SAN JOAQUIN",2,2,2,2,4,1,0,2,4,4,2.3
AVENAL,KINGS,3,2,1,2,2,5,1,0,4,2,2.2
LIVINGSTON,MERCED,0,3,4,2,3,3,1,2,1,3,2.2
"SCOTTS VALLEY","SANTA CRUZ",4,0,1,2,0,4,2,1,3,5,2.2
JACKSON,AMADOR,3,2,0,4,0,1,3,2,1,5,2.1
CHOWCHILLA,MADERA,0,3,1,3,2,3,4,3,0,2,2.1
"SAN ANSELMO",MARIN,0,2,1,3,4,1,5,2,2,1,2.1
"DEL MAR","SAN DIEGO",1,2,3,3,3,1,3,4,0,1,2.1
"GROVER BEACH","SAN LUIS OBISPO",2,2,3,0,3,0,3,1,4,3,2.1
ATHERTON,"SAN MATEO",1,6,4,1,4,1,0,1,1,2,2.1
"WESTLAKE VILLAGE","LOS ANGELES",1,4,2,0,0,3,2,2,3,3,2.0
"INDIAN WELLS",RIVERSIDE,1,5,2,0,0,3,4,2,1,2,2.0
CAPITOLA,"SANTA CRUZ",3,1,3,2,1,2,2,1,2,3,2.0
KINGSBURG,FRESNO,2,1,2,1,1,0,1,4,4,3,1.9
LAKEPORT,LAKE,0,1,0,0,2,4,3,1,6,2,1.9
FAIRFAX,MARIN,4,0,6,1,1,1,1,2,1,2,1.9
"FORT BRAGG",MENDOCINO,2,1,1,0,2,0,2,6,2,3,1.9
GREENFIELD,MONTEREY,0,1,5,2,3,1,2,1,2,2,1.9
"LAGUNA WOODS",ORANGE,2,1,1,3,0,4,1,2,3,2,1.9
LOOMIS,PLACER,3,1,1,3,1,1,0,2,5,2,1.9
"MORRO BAY","SAN LUIS OBISPO",2,3,1,1,1,3,2,2,1,3,1.9
SONOMA,SONOMA,4,2,1,1,1,1,1,3,2,3,1.9
DINUBA,TULARE,0,1,6,2,4,0,1,1,2,2,1.9
WILLIAMS,COLUSA,1,3,2,4,2,3,1,1,1,0,1.8
FOWLER,FRESNO,2,3,1,2,3,1,2,3,1,0,1.8
FORTUNA,HUMBOLDT,2,3,4,0,1,1,3,1,0,3,1.8
FARMERSVILLE,TULARE,0,1,1,2,3,0,1,1,5,4,1.8
"LA HABRA HEIGHTS","LOS ANGELES",2,3,0,2,2,3,0,1,3,1,1.7
LARKSPUR,MARIN,3,0,0,3,1,1,6,1,1,1,1.7
"NEVADA CITY",NEVADA,0,1,1,2,2,2,5,3,1,0,1.7
"CANYON LAKE",RIVERSIDE,3,1,3,0,1,2,3,0,0,4,1.7
PARLIER,FRESNO,3,1,2,2,0,1,1,2,1,3,1.6
"PORT HUENEME",VENTURA,3,3,1,2,1,0,2,2,0,2,1.6
"PALOS VERDES EST","LOS ANGELES",2,1,1,5,2,3,0,0,0,1,1.5
"KING CITY",MONTEREY,2,0,0,3,1,2,1,3,2,1,1.5
"PACIFIC GROVE",MONTEREY,2,1,2,0,2,1,3,1,1,2,1.5
HILLSBOROUGH,"SAN MATEO",1,1,0,3,1,2,4,2,0,1,1.5
CLOVERDALE,SONOMA,2,2,1,0,1,0,2,3,2,2,1.5
"SUTTER CREEK",AMADOR,2,0,0,0,1,2,1,4,3,1,1.4
"PORTOLA VALLEY","SAN MATEO",0,0,0,2,0,1,1,3,1,6,1.4
WEED,SISKIYOU,0,1,0,3,2,3,1,2,0,2,1.4
COALINGA,FRESNO,0,0,2,2,1,1,3,2,1,1,1.3
MENDOTA,FRESNO,1,0,3,0,0,2,3,1,1,2,1.3
"VILLA PARK",ORANGE,1,0,4,1,2,3,0,2,0,0,1.3
"SHASTA LAKE",SHASTA,0,1,0,1,3,2,1,2,2,1,1.3
WINTERS,YOLO,0,1,2,1,1,3,0,1,2,2,1.3
"ANGELS CAMP",CALAVERAS,2,0,4,0,0,0,2,1,1,2,1.2
IMPERIAL,IMPERIAL,4,3,0,1,2,0,0,1,0,1,1.2
SUSANVILLE,LASSEN,2,1,2,2,2,0,0,0,2,1,1.2
WILLITS,MENDOCINO,1,0,1,3,0,0,0,2,4,1,1.2
"RIO VISTA",SOLANO,2,0,1,2,2,0,1,2,0,2,1.2
"LIVE OAK",SUTTER,2,1,1,2,1,3,2,0,0,0,1.2
COLUSA,COLUSA,0,1,2,1,1,1,2,1,2,0,1.1
CLAYTON,"CONTRA COSTA",1,2,0,1,1,1,1,1,1,2,1.1
BUELLTON,"SANTA BARBARA",0,1,2,1,0,2,0,2,1,2,1.1
"MILL VALLEY",MARIN,1,1,2,0,2,1,0,0,2,1,1.0
SOLEDAD,MONTEREY,0,0,0,3,3,1,2,0,1,0,1.0
"RANCHO PALOS VERDES","LOS ANGELES",2,1,2,0,2,0,0,2,0,0,0.9
"SIERRA MADRE","LOS ANGELES",2,3,0,0,1,1,2,0,0,0,0.9
"MAMMOTH LAKES",MONO,0,0,0,2,4,1,2,0,0,0,0.9
"SAINT HELENA",NAPA,0,0,0,1,1,3,0,1,3,0,0.9
COLFAX,PLACER,1,2,2,1,0,0,1,0,1,1,0.9
"MOUNT SHASTA",SISKIYOU,3,1,0,0,1,1,0,1,0,2,0.9
IONE,AMADOR,2,0,0,1,1,1,0,0,3,0,0.8
KERMAN,FRESNO,2,0,0,0,3,1,2,0,0,0,0.8
YOUNTVILLE,NAPA,0,2,0,0,2,0,0,1,2,1,0.8
HUGHSON,STANISLAUS,1,1,0,2,3,0,1,0,0,0,0.8
NEWMAN,STANISLAUS,2,0,1,1,2,0,2,0,0,0,0.8
MORAGA,"CONTRA COSTA",1,0,0,1,1,2,1,0,0,1,0.7
WILLOWS,GLENN,1,0,0,3,1,0,1,0,1,0,0.7
SOLVANG,"SANTA BARBARA",2,0,1,1,0,0,1,1,0,1,0.7
WATERFORD,STANISLAUS,0,0,1,0,0,1,1,0,2,2,0.7
FIREBAUGH,FRESNO,0,0,0,0,2,3,0,1,0,0,0.6
CARMEL,MONTEREY,1,0,0,0,3,1,0,1,0,0,0.6
GONZALES,MONTEREY,0,0,0,0,0,0,0,2,2,2,0.6
COLMA,"SAN MATEO",0,3,0,0,0,1,2,0,0,0,0.6
"CRESCENT CITY","DEL NORTE",1,0,0,0,0,2,0,0,2,0,0.5
BISHOP,INYO,1,0,0,0,0,0,0,0,2,2,0.5
MCFARLAND,KERN,1,1,1,2,0,0,0,0,0,0,0.5
AVALON,"LOS ANGELES",0,0,0,0,0,0,0,1,1,3,0.5
LOMITA,"LOS ANGELES",1,0,0,1,0,1,1,0,1,0,0.5
ISLETON,SACRAMENTO,0,0,0,0,0,2,1,0,0,2,0.5
EXETER,TULARE,0,0,0,0,0,0,0,2,2,1,0.5
WHEATLAND,YUBA,0,1,0,1,0,1,0,0,2,0,0.5
GUADALUPE,"SANTA BARBARA",0,0,0,0,0,1,0,0,2,1,0.4
CORNING,TEHAMA,1,0,0,0,0,2,0,0,1,0,0.4
PIEDMONT,ALAMEDA,1,0,0,0,0,1,0,0,0,1,0.3
HURON,FRESNO,0,1,0,0,0,1,0,0,1,0,0.3
HOLTVILLE,IMPERIAL,1,0,0,1,1,0,0,0,0,0,0.3
GUSTINE,MERCED,1,1,0,0,0,1,0,0,0,0,0.3
"MONTE SERENO","SANTA CLARA",0,1,0,0,0,1,0,0,0,1,0.3
DUNSMUIR,SISKIYOU,0,0,0,1,0,1,0,0,0,1,0.3
WOODLAKE,TULARE,1,0,0,0,0,1,0,0,1,0,0.3
"ORANGE COVE",FRESNO,0,0,0,0,0,1,1,0,0,0,0.2
"BEAR VALLEY SPRINGS",KERN,0,0,0,0,0,0,1,1,0,0,0.2
"HIDDEN HILLS","LOS ANGELES",0,1,0,0,0,0,1,0,0,0,0.2
"ROLLING HILLS EST","LOS ANGELES",1,0,0,0,0,1,0,0,0,0,0.2
ROSS,MARIN,0,0,0,0,0,0,0,0,2,0,0.2
TIBURON,MARIN,1,0,0,0,0,1,0,0,0,0,0.2
"DEL REY OAKS",MONTEREY,0,0,1,0,0,0,0,1,0,0,0.2
"SAN JUAN BAUTISTA","SAN BENITO",0,0,0,0,1,0,1,0,0,0,0.2
BROADMOOR,"SAN MATEO",1,0,0,0,0,0,0,0,1,0,0.2
PLYMOUTH,AMADOR,0,0,1,0,0,0,0,0,0,0,0.1
BIGGS,BUTTE,0,0,0,0,0,0,0,0,1,0,0.1
KENSINGTON,"CONTRA COSTA",0,0,0,0,0,0,0,0,0,1,0.1
FERNDALE,HUMBOLDT,0,0,0,0,0,0,0,0,1,0,0.1
WESTMORLAND,IMPERIAL,0,0,0,0,1,0,0,0,0,0,0.1
MARICOPA,KERN,1,0,0,0,0,0,0,0,0,0,0.1
"POINT ARENA",MENDOCINO,0,0,0,0,0,0,1,0,0,0,0.1
"DOS PALOS",MERCED,0,0,0,0,0,0,0,0,0,1,0.1
"SAND CITY",MONTEREY,1,0,0,0,0,0,0,0,0,0,0.1
DORRIS,SISKIYOU,0,0,0,0,0,0,1,0,0,0,0.1
MONTAGUE,SISKIYOU,0,0,0,0,1,0,0,0,0,0,0.1
TEHAMA,TEHAMA,0,0,0,0,0,0,0,0,0,1,0.1
"AMADOR CITY",AMADOR,0,0,0,0,0,0,0,0,0,0,0.0
"SAN JOAQUIN",FRESNO,0,0,0,0,0,0,0,0,0,0,0.0
"BLUE LAKE",HUMBOLDT,0,0,0,0,0,0,0,0,0,0,0.0
"RIO DELL",HUMBOLDT,0,0,0,0,0,0,0,0,0,0,0.0
TRINIDAD,HUMBOLDT,0,0,0,0,0,0,0,0,0,0,0.0
CALIPATRIA,IMPERIAL,0,0,0,0,0,0,0,0,0,0,0.0
BRADBURY,"LOS ANGELES",0,0,0,0,0,0,0,0,0,0,0.0
"ROLLING HILLS","LOS ANGELES",0,0,0,0,0,0,0,0,0,0,0.0
BELVEDERE,MARIN,0,0,0,0,0,0,0,0,0,0,0.0
ALTURAS,MODOC,0,0,0,0,0,0,0,0,0,0,0.0
PORTOLA,PLUMAS,0,0,0,0,0,0,0,0,0,0,0.0
LOYALTON,SIERRA,0,0,0,0,0,0,0,0,0,0,0.0
ETNA,SISKIYOU,0,0,0,0,0,0,0,0,0,0,0.0
"FORT JONES",SISKIYOU,0,0,0,0,0,0,0,0,0,0,0.0
TULELAKE,SISKIYOU,0,0,0,0,0,0,0,0,0,0,0.0
