Tile_ID,Long2,Lat2,Long1,Lat1,Mid_lat,Mid_long,Stop_Signs,Paving_historical,Paving_future,Bus_stop,Collisions_Future,Collisions_Historical,RTTYP_I,RTTYP_M,RTTYP_O,RTTYP_S,RTTYP_U
266,-122.5121658,37.77963582,-122.5110257,37.77873221,37.779184,-122.511596,1.0,0.0,0.0,0.0,5.0,5.0,0,1,0,0,0
271,-122.5121658,37.77511779,-122.5110257,37.77421418,37.774666,-122.511596,4.0,0.0,0.0,0.0,1.0,3.0,0,1,0,0,0
275,-122.5121658,37.77150337,-122.5110257,37.77059976,37.771052,-122.511596,0.0,0.0,0.0,0.0,1.0,0.0,0,1,0,0,0
390,-122.5110257,37.77150337,-122.5098855,37.77059976,37.771052,-122.510456,0.0,0.0,0.0,1.0,1.0,1.0,0,1,0,0,0
391,-122.5110257,37.77059976,-122.5098855,37.76969616,37.770148,-122.510456,0.0,0.0,0.0,0.0,2.0,4.0,0,1,0,0,0
398,-122.5110257,37.76427453,-122.5098855,37.76337092,37.763823,-122.510456,0.0,0.0,0.0,1.0,1.0,1.0,0,1,0,0,0
495,-122.5098855,37.78053942,-122.5087454,37.77963582,37.780088,-122.509315,0.0,0.0,0.0,0.0,2.0,0.0,0,1,0,0,0
499,-122.5098855,37.776925,-122.5087454,37.77602139,37.776473,-122.509315,0.0,0.0,0.0,0.0,1.0,0.0,0,1,0,0,0
500,-122.5098855,37.77602139,-122.5087454,37.77511779,37.77557,-122.509315,5.0,0.0,0.0,0.0,1.0,0.0,0,1,0,0,0
505,-122.5098855,37.77150337,-122.5087454,37.77059976,37.771052,-122.509315,1.0,0.0,0.0,1.0,1.0,0.0,0,1,0,0,0
513,-122.5098855,37.76427453,-122.5087454,37.76337092,37.763823,-122.509315,5.0,0.0,0.0,1.0,4.0,2.0,0,1,0,0,0
515,-122.5098855,37.76246732,-122.5087454,37.76156371,37.762016,-122.509315,5.0,0.0,0.0,0.0,1.0,0.0,0,1,0,0,0
517,-122.5098855,37.76066011,-122.5087454,37.7597565,37.760208,-122.509315,5.0,0.0,0.0,1.0,4.0,1.0,0,1,0,0,0
610,-122.5087454,37.78053942,-122.5076053,37.77963582,37.780088,-122.508175,1.0,0.0,0.0,0.0,1.0,0.0,0,1,0,0,0
613,-122.5087454,37.77782861,-122.5076053,37.776925,37.777377,-122.508175,2.0,0.0,0.0,0.0,1.0,0.0,0,1,0,0,0
615,-122.5087454,37.77602139,-122.5076053,37.77511779,37.77557,-122.508175,4.0,0.0,0.0,0.0,1.0,0.0,0,1,0,0,0
620,-122.5087454,37.77150337,-122.5076053,37.77059976,37.771052,-122.508175,0.0,0.0,0.0,0.0,2.0,0.0,0,1,0,0,0
626,-122.5087454,37.76608174,-122.5076053,37.76517813,37.76563,-122.508175,0.0,0.0,0.0,0.0,1.0,0.0,0,1,0,0,0
628,-122.5087454,37.76427453,-122.5076053,37.76337092,37.763823,-122.508175,1.0,0.0,0.0,0.0,1.0,2.0,0,1,0,0,0
630,-122.5087454,37.76246732,-122.5076053,37.76156371,37.762016,-122.508175,4.0,0.0,0.0,0.0,1.0,0.0,0,1,0,0,0
640,-122.5087454,37.75343126,-122.5076053,37.75252766,37.752979,-122.508175,3.0,0.0,0.0,1.0,2.0,0.0,0,1,0,0,0
642,-122.5087454,37.75162405,-122.5076053,37.75072045,37.751172,-122.508175,3.0,0.0,0.0,0.0,2.0,0.0,0,1,0,0,0
644,-122.5087454,37.74981684,-122.5076053,37.74891324,37.749365,-122.508175,3.0,0.0,0.0,0.0,1.0,0.0,0,1,0,0,0
730,-122.5076053,37.77602139,-122.5064652,37.77511779,37.77557,-122.507035,2.0,0.0,0.0,0.0,1.0,1.0,0,1,0,0,0
732,-122.5076053,37.77421418,-122.5064652,37.77331058,37.773762,-122.507035,2.0,0.0,0.0,0.0,1.0,1.0,0,1,0,0,0
737,-122.5076053,37.76969616,-122.5064652,37.76879255,37.769244,-122.507035,0.0,0.0,0.0,0.0,1.0,0.0,0,1,0,0,0
743,-122.5076053,37.76427453,-122.5064652,37.76337092,37.763823,-122.507035,1.0,0.0,0.0,1.0,1.0,0.0,0,1,0,0,0
755,-122.5076053,37.75343126,-122.5064652,37.75252766,37.752979,-122.507035,4.0,0.0,0.0,0.0,1.0,1.0,0,1,0,0,0
763,-122.5076053,37.74620242,-122.5064652,37.74529882,37.745751,-122.507035,5.0,0.0,0.0,2.0,1.0,1.0,0,1,0,0,0
768,-122.5076053,37.74168439,-122.5064652,37.74078079,37.741233,-122.507035,4.0,0.0,0.0,0.0,1.0,0.0,0,1,0,0,0
774,-122.5076053,37.73626276,-122.5064652,37.73535916,37.735811,-122.507035,0.0,0.0,0.0,1.0,1.0,0.0,0,1,0,0,0
845,-122.5064652,37.77602139,-122.5053251,37.77511779,37.77557,-122.505895,2.0,0.0,0.0,2.0,2.0,0.0,0,1,0,0,0
849,-122.5064652,37.77240697,-122.5053251,37.77150337,37.771955,-122.505895,1.0,0.0,0.0,0.0,3.0,0.0,0,1,0,0,0
858,-122.5064652,37.76427453,-122.5053251,37.76337092,37.763823,-122.505895,3.0,0.0,0.0,2.0,1.0,0.0,0,1,0,0,0
862,-122.5064652,37.76066011,-122.5053251,37.7597565,37.760208,-122.505895,4.0,0.0,0.0,4.0,1.0,0.0,0,1,0,0,0
878,-122.5064652,37.74620242,-122.5053251,37.74529882,37.745751,-122.505895,2.0,0.0,0.0,0.0,1.0,0.0,0,1,0,0,0
880,-122.5064652,37.74439521,-122.5053251,37.74349161,37.743943,-122.505895,4.0,0.0,0.0,0.0,1.0,0.0,0,1,0,0,0
955,-122.5053251,37.78053942,-122.504185,37.77963582,37.780088,-122.504755,2.0,0.0,0.0,1.0,1.0,0.0,0,1,0,0,0
964,-122.5053251,37.77240697,-122.504185,37.77150337,37.771955,-122.504755,1.0,0.0,0.0,0.0,1.0,0.0,0,1,0,0,0
973,-122.5053251,37.76427453,-122.504185,37.76337092,37.763823,-122.504755,3.0,0.0,0.0,0.0,1.0,0.0,0,1,0,0,0
981,-122.5053251,37.75704568,-122.504185,37.75614208,37.756594,-122.504755,4.0,0.0,0.0,0.0,1.0,1.0,0,1,0,0,0
1004,-122.5053251,37.73626276,-122.504185,37.73535916,37.735811,-122.504755,9.0,0.0,0.0,2.0,2.0,2.0,0,1,0,0,0
1090,-122.504185,37.76246732,-122.5030448,37.76156371,37.762016,-122.503615,2.0,0.0,0.0,0.0,1.0,1.0,0,1,0,0,0
1100,-122.504185,37.75343126,-122.5030448,37.75252766,37.752979,-122.503615,4.0,0.0,0.0,1.0,1.0,0.0,0,1,0,0,0
1110,-122.504185,37.74439521,-122.5030448,37.74349161,37.743943,-122.503615,2.0,0.0,0.0,0.0,1.0,0.0,0,1,0,0,0
1112,-122.504185,37.742588,-122.5030448,37.74168439,37.742136,-122.503615,2.0,0.0,3.0,0.0,1.0,0.0,0,1,0,0,0
1116,-122.504185,37.73897358,-122.5030448,37.73806997,37.738522,-122.503615,4.0,0.0,0.0,0.0,1.0,0.0,0,1,0,0,0
1119,-122.504185,37.73626276,-122.5030448,37.73535916,37.735811,-122.503615,4.0,0.0,0.0,2.0,1.0,2.0,0,1,0,0,0
1180,-122.5030448,37.78505745,-122.5019047,37.78415384,37.784606,-122.502475,0.0,0.0,0.0,0.0,1.0,0.0,0,1,0,0,0
1186,-122.5030448,37.77963582,-122.5019047,37.77873221,37.779184,-122.502475,7.0,0.0,3.0,1.0,1.0,1.0,0,1,0,0,0
1188,-122.5030448,37.77782861,-122.5019047,37.776925,37.777377,-122.502475,2.0,0.0,0.0,0.0,1.0,1.0,0,1,0,0,0
1190,-122.5030448,37.77602139,-122.5019047,37.77511779,37.77557,-122.502475,2.0,0.0,0.0,0.0,1.0,0.0,0,1,0,0,0
1194,-122.5030448,37.77240697,-122.5019047,37.77150337,37.771955,-122.502475,1.0,0.0,0.0,0.0,1.0,0.0,0,1,0,0,0
1202,-122.5030448,37.76517813,-122.5019047,37.76427453,37.764726,-122.502475,2.0,0.0,0.0,0.0,1.0,0.0,0,1,0,0,0
1221,-122.5030448,37.74800963,-122.5019047,37.74710603,37.747558,-122.502475,2.0,0.0,0.0,1.0,1.0,0.0,0,1,0,0,0
1229,-122.5030448,37.74078079,-122.5019047,37.73987718,37.740329,-122.502475,2.0,0.0,0.0,0.0,1.0,0.0,0,1,0,0,0
1246,-122.5030448,37.7254195,-122.5019047,37.72451589,37.724968,-122.502475,3.0,0.0,0.0,0.0,3.0,7.0,0,1,0,0,0
1301,-122.5019047,37.77963582,-122.5007646,37.77873221,37.779184,-122.501335,8.0,0.0,8.0,0.0,3.0,1.0,0,1,0,0,0
1317,-122.5019047,37.76517813,-122.5007646,37.76427453,37.764726,-122.501335,9.0,0.0,0.0,0.0,1.0,6.0,0,1,0,0,0
1322,-122.5019047,37.76066011,-122.5007646,37.7597565,37.760208,-122.501335,2.0,0.0,0.0,0.0,1.0,0.0,0,1,0,0,0
1328,-122.5019047,37.75523847,-122.5007646,37.75433487,37.754787,-122.501335,2.0,0.0,0.0,0.0,1.0,1.0,0,1,0,0,0
1336,-122.5019047,37.74800963,-122.5007646,37.74710603,37.747558,-122.501335,4.0,0.0,0.0,1.0,1.0,0.0,0,1,0,0,0
1342,-122.5019047,37.742588,-122.5007646,37.74168439,37.742136,-122.501335,2.0,0.0,3.0,0.0,1.0,3.0,0,1,0,0,0
1344,-122.5019047,37.74078079,-122.5007646,37.73987718,37.740329,-122.501335,2.0,0.0,0.0,0.0,1.0,0.0,0,1,0,0,0
1409,-122.5007646,37.78596105,-122.4996245,37.78505745,37.785509,-122.500195,0.0,0.0,0.0,0.0,1.0,0.0,0,1,0,0,0
1416,-122.5007646,37.77963582,-122.4996245,37.77873221,37.779184,-122.500195,2.0,0.0,4.0,2.0,1.0,0.0,0,1,0,0,0
1428,-122.5007646,37.76879255,-122.4996245,37.76788895,37.768341,-122.500195,4.0,0.0,0.0,0.0,3.0,1.0,0,1,0,0,0
1434,-122.5007646,37.76337092,-122.4996245,37.76246732,37.762919,-122.500195,8.0,0.0,0.0,0.0,2.0,0.0,0,1,0,0,0
1445,-122.5007646,37.75343126,-122.4996245,37.75252766,37.752979,-122.500195,2.0,0.0,0.0,1.0,1.0,0.0,0,1,0,0,0
1457,-122.5007646,37.742588,-122.4996245,37.74168439,37.742136,-122.500195,4.0,0.0,3.0,2.0,1.0,0.0,0,1,0,0,0
1465,-122.5007646,37.73535916,-122.4996245,37.73445555,37.734907,-122.500195,1.0,0.0,0.0,1.0,1.0,1.0,0,1,0,0,0
1483,-122.5007646,37.71909426,-122.4996245,37.71819066,37.718642,-122.500195,0.0,0.0,0.0,2.0,3.0,5.0,0,1,0,0,0
1529,-122.4996245,37.78144303,-122.4984844,37.78053942,37.780991,-122.499054,0.0,0.0,0.0,0.0,1.0,0.0,0,1,0,0,0
1531,-122.4996245,37.77963582,-122.4984844,37.77873221,37.779184,-122.499054,2.0,0.0,4.0,0.0,1.0,0.0,0,1,0,0,0
1533,-122.4996245,37.77782861,-122.4984844,37.776925,37.777377,-122.499054,4.0,0.0,0.0,0.0,1.0,1.0,0,1,0,0,0
1539,-122.4996245,37.77240697,-122.4984844,37.77150337,37.771955,-122.499054,1.0,0.0,0.0,0.0,1.0,1.0,0,1,0,0,0
1547,-122.4996245,37.76517813,-122.4984844,37.76427453,37.764726,-122.499054,1.0,0.0,0.0,0.0,1.0,0.0,0,1,0,0,0
1558,-122.4996245,37.75523847,-122.4984844,37.75433487,37.754787,-122.499054,4.0,0.0,0.0,0.0,1.0,0.0,0,1,0,0,0
1584,-122.4996245,37.73174474,-122.4984844,37.73084113,37.731293,-122.499054,0.0,0.0,0.0,1.0,5.0,6.0,0,1,0,0,0
1654,-122.4984844,37.77240697,-122.4973443,37.77150337,37.771955,-122.497914,1.0,0.0,0.0,0.0,1.0,0.0,0,1,0,0,0
1662,-122.4984844,37.76517813,-122.4973443,37.76427453,37.764726,-122.497914,4.0,0.0,0.0,0.0,1.0,0.0,0,1,0,0,0
1673,-122.4984844,37.75523847,-122.4973443,37.75433487,37.754787,-122.497914,2.0,0.0,0.0,0.0,1.0,0.0,0,1,0,0,0
1681,-122.4984844,37.74800963,-122.4973443,37.74710603,37.747558,-122.497914,0.0,0.0,0.0,2.0,1.0,0.0,0,1,0,0,0
1687,-122.4984844,37.742588,-122.4973443,37.74168439,37.742136,-122.497914,4.0,0.0,3.0,2.0,1.0,0.0,0,1,0,0,0
1698,-122.4984844,37.73264834,-122.4973443,37.73174474,37.732197,-122.497914,1.0,0.0,1.0,0.0,1.0,0.0,0,1,0,0,0
1761,-122.4973443,37.77963582,-122.4962041,37.77873221,37.779184,-122.496774,0.0,0.0,4.0,1.0,1.0,1.0,0,1,0,0,0
1769,-122.4973443,37.77240697,-122.4962041,37.77150337,37.771955,-122.496774,0.0,0.0,0.0,2.0,2.0,1.0,0,1,0,0,0
1777,-122.4973443,37.76517813,-122.4962041,37.76427453,37.764726,-122.496774,0.0,0.0,0.0,1.0,1.0,1.0,0,1,0,0,0
1779,-122.4973443,37.76337092,-122.4962041,37.76246732,37.762919,-122.496774,2.0,0.0,0.0,0.0,1.0,1.0,0,1,0,0,0
1781,-122.4973443,37.76156371,-122.4962041,37.76066011,37.761112,-122.496774,2.0,0.0,0.0,0.0,4.0,1.0,0,1,0,0,0
1785,-122.4973443,37.75794929,-122.4962041,37.75704568,37.757497,-122.496774,2.0,0.0,0.0,0.0,1.0,0.0,0,1,0,0,0
1802,-122.4973443,37.742588,-122.4962041,37.74168439,37.742136,-122.496774,2.0,0.0,3.0,0.0,1.0,0.0,0,1,0,0,0
1804,-122.4973443,37.74078079,-122.4962041,37.73987718,37.740329,-122.496774,2.0,0.0,0.0,0.0,1.0,0.0,0,1,0,0,0
1811,-122.4973443,37.73445555,-122.4962041,37.73355195,37.734004,-122.496774,4.0,0.0,0.0,4.0,1.0,1.0,0,1,0,0,0
1884,-122.4962041,37.77240697,-122.495064,37.77150337,37.771955,-122.495634,0.0,0.0,0.0,0.0,1.0,5.0,0,1,0,0,0
1887,-122.4962041,37.76969616,-122.495064,37.76879255,37.769244,-122.495634,1.0,0.0,0.0,0.0,1.0,0.0,0,1,0,0,0
1891,-122.4962041,37.76608174,-122.495064,37.76517813,37.76563,-122.495634,3.0,0.0,0.0,0.0,1.0,1.0,0,1,0,0,0
1892,-122.4962041,37.76517813,-122.495064,37.76427453,37.764726,-122.495634,0.0,0.0,0.0,1.0,2.0,0.0,0,1,0,0,0
1893,-122.4962041,37.76427453,-122.495064,37.76337092,37.763823,-122.495634,0.0,0.0,0.0,0.0,1.0,0.0,0,1,0,0,0
1896,-122.4962041,37.76156371,-122.495064,37.76066011,37.761112,-122.495634,2.0,0.0,0.0,4.0,2.0,1.0,0,1,0,0,0
1900,-122.4962041,37.75794929,-122.495064,37.75704568,37.757497,-122.495634,2.0,0.0,0.0,1.0,1.0,0.0,0,0,0,1,0
1905,-122.4962041,37.75343126,-122.495064,37.75252766,37.752979,-122.495634,2.0,0.0,0.0,2.0,2.0,2.0,0,1,0,0,0
1907,-122.4962041,37.75162405,-122.495064,37.75072045,37.751172,-122.495634,2.0,0.0,0.0,2.0,1.0,2.0,0,1,0,0,0
1988,-122.495064,37.78234663,-122.4939239,37.78144303,37.781895,-122.494494,4.0,0.0,0.0,2.0,1.0,0.0,0,1,0,0,0
1995,-122.495064,37.77602139,-122.4939239,37.77511779,37.77557,-122.494494,2.0,0.0,0.0,2.0,2.0,0.0,0,1,0,0,0
1999,-122.495064,37.77240697,-122.4939239,37.77150337,37.771955,-122.494494,1.0,0.0,0.0,0.0,1.0,0.0,0,1,0,0,0
2007,-122.495064,37.76517813,-122.4939239,37.76427453,37.764726,-122.494494,1.0,0.0,0.0,1.0,1.0,0.0,0,1,0,0,0
2009,-122.495064,37.76337092,-122.4939239,37.76246732,37.762919,-122.494494,4.0,0.0,0.0,0.0,1.0,3.0,0,1,0,0,0
2015,-122.495064,37.75794929,-122.4939239,37.75704568,37.757497,-122.494494,2.0,0.0,0.0,0.0,1.0,0.0,0,1,0,0,0
2024,-122.495064,37.74981684,-122.4939239,37.74891324,37.749365,-122.494494,2.0,2.0,1.0,1.0,1.0,1.0,0,1,0,0,0
2026,-122.495064,37.74800963,-122.4939239,37.74710603,37.747558,-122.494494,2.0,0.0,0.0,2.0,1.0,1.0,0,1,0,0,0
2028,-122.495064,37.74620242,-122.4939239,37.74529882,37.745751,-122.494494,2.0,0.0,0.0,2.0,1.0,3.0,0,1,0,0,0
2030,-122.495064,37.74439521,-122.4939239,37.74349161,37.743943,-122.494494,2.0,0.0,0.0,2.0,1.0,0.0,0,1,0,0,0
2032,-122.495064,37.742588,-122.4939239,37.74168439,37.742136,-122.494494,2.0,0.0,5.0,4.0,1.0,2.0,0,1,0,0,0
2034,-122.495064,37.74078079,-122.4939239,37.73987718,37.740329,-122.494494,2.0,0.0,0.0,2.0,1.0,1.0,0,1,0,0,0
2036,-122.495064,37.73897358,-122.4939239,37.73806997,37.738522,-122.494494,2.0,0.0,0.0,2.0,3.0,2.0,0,1,0,0,0
2038,-122.495064,37.73716637,-122.4939239,37.73626276,37.736715,-122.494494,2.0,0.0,0.0,1.0,2.0,2.0,0,1,0,0,0
2045,-122.495064,37.73084113,-122.4939239,37.72993753,37.730389,-122.494494,0.0,3.0,2.0,0.0,1.0,0.0,0,1,0,0,0
2105,-122.4939239,37.78053942,-122.4927838,37.77963582,37.780088,-122.493354,0.0,0.0,3.0,3.0,1.0,0.0,0,1,0,0,0
2116,-122.4939239,37.77059976,-122.4927838,37.76969616,37.770148,-122.493354,2.0,0.0,0.0,0.0,1.0,1.0,0,1,0,0,0
2120,-122.4939239,37.76698534,-122.4927838,37.76608174,37.766534,-122.493354,1.0,0.0,0.0,0.0,1.0,0.0,0,1,0,0,0
2134,-122.4939239,37.75433487,-122.4927838,37.75343126,37.753883,-122.493354,2.0,0.0,0.0,0.0,1.0,0.0,0,1,0,0,0
2149,-122.4939239,37.74078079,-122.4927838,37.73987718,37.740329,-122.493354,2.0,0.0,0.0,0.0,2.0,2.0,0,1,0,0,0
2155,-122.4939239,37.73535916,-122.4927838,37.73445555,37.734907,-122.493354,3.0,0.0,0.0,1.0,1.0,0.0,0,1,0,0,0
2156,-122.4939239,37.73445555,-122.4927838,37.73355195,37.734004,-122.493354,1.0,0.0,0.0,2.0,1.0,0.0,0,1,0,0,0
2158,-122.4939239,37.73264834,-122.4927838,37.73174474,37.732197,-122.493354,2.0,0.0,1.0,2.0,3.0,2.0,0,1,0,0,0
2161,-122.4939239,37.72993753,-122.4927838,37.72903392,37.729486,-122.493354,2.0,0.0,0.0,1.0,1.0,1.0,0,1,0,0,0
2218,-122.4927838,37.78234663,-122.4916437,37.78144303,37.781895,-122.492214,4.0,3.0,0.0,2.0,1.0,0.0,0,1,0,0,0
2220,-122.4927838,37.78053942,-122.4916437,37.77963582,37.780088,-122.492214,0.0,0.0,4.0,1.0,1.0,0.0,0,1,0,0,0
2262,-122.4927838,37.742588,-122.4916437,37.74168439,37.742136,-122.492214,2.0,0.0,0.0,0.0,1.0,0.0,0,1,0,0,0
2335,-122.4916437,37.78053942,-122.4905036,37.77963582,37.780088,-122.491074,1.0,0.0,0.0,0.0,1.0,1.0,0,1,0,0,0
2362,-122.4916437,37.75614208,-122.4905036,37.75523847,37.75569,-122.491074,6.0,0.0,0.0,0.0,1.0,2.0,0,0,0,0,1
2364,-122.4916437,37.75433487,-122.4905036,37.75343126,37.753883,-122.491074,2.0,0.0,0.0,0.0,2.0,0.0,0,1,0,0,0
2373,-122.4916437,37.74620242,-122.4905036,37.74529882,37.745751,-122.491074,2.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,1
