STREET,X_STREET,DIRECTION,ST_FACING,DIST,CNN,CONCATENAT,MTAB_DATE,MTAB_RESO_TEXT,MTAB_MOTION,STATUS,WORKORDER,INSTALL_DATE,shape,Neighborhoods,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods
35TH AVE,CABRILLO,NW,SB,0,27829000,35TH AVE & CABRILLO ST,,,,I,,,POINT (-122.49504 37.77395),8,8,8,4,29
WESTGATE,KENWOOD,,SB,,22768000,WESTGATE & KENWOOD,,,,,,,POINT (-122.46541 37.728474),63,63,10,8,41
33RD AVE,IRVING,NW,SB,0,27739000,33RD AVE & IRVING,,,,,,,POINT (-122.49213 37.7629),39,39,10,7,35
18TH AVE,VICENTE,NW,SB,0,23158000,18TH AVE & VICENTE,,,,,,,POINT (-122.474365 37.739372),46,46,10,8,41
CASHMERE,HUDSON,,SB,0,20191000,CASHMERE & HUDSON,,,,,,,POINT (-122.38342 37.7358),86,86,2,9,1
47TH AVE,KIRKHAM,SE,NB,0,27940000,47TH AVE & KIRKHAM,,,,,,,POINT (-122.50687 37.758514),39,39,10,7,35
MEADOWBROOK,EUCALYPTUS,NW,SB,,33504000,MEADOWBROOK & EUCALYPTUS,,,,,,,POINT (-122.48442 37.731014),62,62,10,8,35
WALLER,FILLMORE,SW,EB,0,25895000,WALLER & FILLMORE,,,,,,,POINT (-122.43026 37.771175),28,28,7,11,9
24TH ST,GRAND VIEW,NE,WB,0,26087000,24TH ST & GRAND VIEW,,,,,,,POINT (-122.44278 37.750774),51,51,3,5,22
ELLSWORTH,CORTLAND,NW,SB,0,21084000,ELLSWORTH & CORTLAND,,,,,,,POINT (-122.41456 37.73888),83,83,9,2,2
MARINA,BRODERICK,SW,EB,,27014000,MARINA BLVD & BRODERICK ST,,,,,,,POINT (-122.44565 37.80537),17,17,4,6,13
JONES ST,LOMBARD,SE,NB,0,25521000,JONES ST & LOMBARD,,,,,,,POINT (-122.41632 37.80241),107,107,6,3,32
RIVERA,46TH AVE,SW,EB,0,23509000,RIVERA & 46TH AVE,,,,,,,POINT (-122.50488 37.745502),39,39,10,7,35
CAMBRIDGE,FELTON,SE,NB,0,20962000,CAMBRIDGE & FELTON,,,,,,,POINT (-122.4184 37.726425),92,92,2,2,25
45TH AVE,IRVING ST,NW,SB,0,27948000,45TH AVE & IRVING ST,,,,,,,POINT (-122.50499 37.762333),39,39,10,7,35
LAKE,08TH AVE,NE,WB,0,27601000,08TH AVE & LAKE,20220905000000,,6571,I,22-04642,20220923000000,POINT (-122.46683 37.786568),4,4,8,6,11
