city,year,weathercode,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,windspeed_10m_max,windgusts_10m_max
Angels,2014,1,74.12472527472528,49.41813186813187,61.67802197802199,727.8,727.0,0.5599999999999999,772.0,7.451923076923077,18.961263736263735
Angels,2015,1,72.57060439560439,48.15961538461538,60.28406593406593,567.5,565.0,1.82,554.0,7.090109890109891,18.103021978021978
Angels,2016,0,71.60356164383562,48.138082191780825,59.98986301369864,1032.4,1031.8,0.42000000000000004,949.0,7.684109589041095,19.375342465753423
Angels,2017,0,72.12994505494505,49.10357142857143,60.66208791208791,1252.5,1248.7,2.87,1095.0,8.23791208791209,20.272527472527475
Angels,2018,0,72.34505494505494,48.066483516483515,60.2543956043956,822.5,813.6,6.23,726.0,7.506868131868132,18.64120879120879
Antioch,2014,1,75.22692307692307,53.61785714285715,63.04862637362636,431.79999999999995,431.79999999999995,0.0,518.0,8.931868131868132,21.07857142857143
Antioch,2015,1,73.48791208791208,52.69230769230769,61.87472527472527,255.99999999999997,255.99999999999997,0.0,310.0,8.909615384615384,20.28598901098901
Antioch,2016,1,72.33917808219178,52.39150684931507,61.24958904109589,570.4,570.4,0.0,670.0,9.031506849315068,20.954246575342463
Antioch,2017,1,73.02197802197803,52.871153846153845,61.85384615384615,641.9,641.9,0.0,697.0,9.216758241758242,21.437087912087915
Antioch,2018,1,73.49725274725274,52.089285714285715,61.45851648351649,385.5,385.5,0.0,491.0,9.168406593406594,21.03846153846154
Arcadia,2014,1,80.05741758241759,55.80549450549451,67.07994505494506,254.5,254.5,0.0,274.0,7.962087912087911,20.063186813186814
Arcadia,2015,1,79.29203296703298,55.231043956043955,66.50604395604395,132.5,132.5,0.0,264.0,7.943956043956042,19.588186813186812
Arcadia,2016,1,78.48301369863013,54.81726027397261,65.72493150684932,246.5,246.5,0.0,303.0,8.041917808219178,19.736164383561647
Arcadia,2017,1,78.9423076923077,55.862362637362644,66.53736263736265,279.40000000000003,279.40000000000003,0.0,388.0,8.054945054945055,19.438736263736264
Arcadia,2018,1,78.51675824175825,55.37582417582417,65.91373626373627,275.0,275.0,0.0,331.0,7.954945054945056,19.353846153846153
Arcata,2014,3,60.432142857142864,50.01923076923077,54.972802197802196,1046.6000000000001,1046.6000000000001,0.0,1238.0,10.522802197802198,25.85686813186813
Arcata,2015,3,60.169505494505486,49.68214285714286,54.699725274725274,899.0,898.9,0.07,962.0,10.497252747252746,25.948901098901096
Arcata,2016,3,59.43150684931507,49.30657534246575,54.16027397260274,1510.7,1510.7,0.0,1501.0,11.44958904109589,28.617808219178084
Arcata,2017,3,58.89752747252747,48.425549450549454,53.455219780219785,1402.1000000000001,1400.5,1.1199999999999999,1686.0,11.140384615384617,27.56895604395605
Arcata,2018,3,58.70384615384614,48.09450549450549,53.09313186813187,932.3999999999999,927.4000000000001,3.5,1120.0,10.727472527472528,26.698076923076925
Arroyo Grande,2014,1,68.84642857142856,54.60384615384616,61.12335164835165,251.3,251.3,0.0,311.0,12.71346153846154,22.451373626373623
Arroyo Grande,2015,1,68.9662087912088,54.64615384615385,61.18186813186814,117.79999999999998,117.79999999999998,0.0,239.0,12.474450549450552,21.884615384615387
Arroyo Grande,2016,3,67.34794520547945,53.947671232876715,60.073424657534254,364.4,364.4,0.0,414.0,12.885479452054797,22.6
Arroyo Grande,2017,3,67.87115384615385,54.34340659340659,60.48653846153846,454.70000000000005,454.70000000000005,0.0,557.0,13.019780219780221,22.448351648351647
Arroyo Grande,2018,3,67.61346153846155,54.03214285714286,60.25,324.1,324.1,0.0,396.0,12.915934065934065,22.340384615384615
Artesia,2014,2,78.42554945054945,56.14203296703297,66.30384615384615,227.10000000000002,227.10000000000002,0.0,268.0,9.34065934065934,19.432692307692307
Artesia,2015,1,77.8543956043956,55.582417582417584,65.90521978021978,147.1,147.1,0.0,309.0,9.361813186813187,19.228571428571428
Artesia,2016,3,76.81534246575342,55.27287671232876,65.0731506849315,229.3,229.3,0.0,353.0,9.493698630136986,19.26684931506849
Artesia,2017,3,77.17472527472528,55.979395604395606,65.57637362637362,257.1,257.1,0.0,394.0,9.384065934065935,19.037362637362637
Artesia,2018,3,76.7357142857143,55.73983516483517,65.14999999999999,239.5,239.5,0.0,334.0,9.33434065934066,18.953021978021976
Arvin,2014,0,80.08598901098901,55.39807692307693,67.76016483516483,155.6,155.6,0.0,295.0,6.164835164835165,14.710714285714287
Arvin,2015,1,78.44725274725273,54.63076923076924,66.43791208791208,216.59999999999997,216.59999999999997,0.0,317.0,5.90412087912088,14.293406593406594
Arvin,2016,0,77.10109589041096,53.75342465753425,65.36712328767123,247.5,247.0,0.35,499.0,5.996986301369863,14.209041095890415
Arvin,2017,0,77.25934065934065,54.20769230769231,65.71510989010989,269.70000000000005,269.70000000000005,0.0,483.0,6.162637362637362,14.262637362637363
Arvin,2018,0,77.8587912087912,54.706043956043956,66.14285714285714,208.3,208.2,0.07,414.0,6.006043956043955,14.13653846153846
Atascadero,2014,1,75.0467032967033,52.167032967032966,62.50686813186813,268.5,268.5,0.0,348.0,8.242032967032968,19.372527472527473
Atascadero,2015,1,74.40054945054943,51.65302197802198,61.93873626373627,137.8,137.8,0.0,235.0,8.038736263736265,18.849175824175823
